COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,5,01/01/2020 00,02/01/2020 00,86,ug/m3
4000022,5,02/01/2020 00,03/01/2020 00,63,ug/m3
4000022,5,03/01/2020 00,04/01/2020 00,45,ug/m3
4000022,5,04/01/2020 00,05/01/2020 00,44,ug/m3
4000022,5,05/01/2020 00,06/01/2020 00,39,ug/m3
4000022,5,06/01/2020 00,07/01/2020 00,46,ug/m3
4000022,5,07/01/2020 00,08/01/2020 00,45,ug/m3
4000022,5,08/01/2020 00,09/01/2020 00,37,ug/m3
4000022,5,09/01/2020 00,10/01/2020 00,48,ug/m3
4000022,5,10/01/2020 00,11/01/2020 00,59,ug/m3
4000022,5,11/01/2020 00,12/01/2020 00,68,ug/m3
4000022,5,12/01/2020 00,13/01/2020 00,54,ug/m3
4000022,5,13/01/2020 00,14/01/2020 00,67,ug/m3
4000022,5,14/01/2020 00,15/01/2020 00,96,ug/m3
4000022,5,15/01/2020 00,16/01/2020 00,101,ug/m3
4000022,5,16/01/2020 00,17/01/2020 00,98,ug/m3
4000022,5,17/01/2020 00,18/01/2020 00,58,ug/m3
4000022,5,18/01/2020 00,19/01/2020 00,34,ug/m3
4000022,5,19/01/2020 00,20/01/2020 00,32,ug/m3
4000022,5,20/01/2020 00,21/01/2020 00,30,ug/m3
4000022,5,21/01/2020 00,22/01/2020 00,50,ug/m3
4000022,5,22/01/2020 00,23/01/2020 00,50,ug/m3
4000022,5,23/01/2020 00,24/01/2020 00,74,ug/m3
4000022,5,24/01/2020 00,25/01/2020 00,82,ug/m3
4000022,5,25/01/2020 00,26/01/2020 00,93,ug/m3
4000022,5,26/01/2020 00,27/01/2020 00,66,ug/m3
4000022,5,27/01/2020 00,28/01/2020 00,45,ug/m3
4000022,5,28/01/2020 00,29/01/2020 00,70,ug/m3
4000022,5,29/01/2020 00,30/01/2020 00,31,ug/m3
4000022,5,30/01/2020 00,31/01/2020 00,42,ug/m3
4000022,5,31/01/2020 00,01/02/2020 00,54,ug/m3
4000022,5,01/02/2020 00,02/02/2020 00,78,ug/m3
4000022,5,02/02/2020 00,03/02/2020 00,41,ug/m3
4000022,5,03/02/2020 00,04/02/2020 00,22,ug/m3
4000022,5,04/02/2020 00,05/02/2020 00,18,ug/m3
4000022,5,05/02/2020 00,06/02/2020 00,13,ug/m3
4000022,5,06/02/2020 00,07/02/2020 00,31,ug/m3
4000022,5,07/02/2020 00,08/02/2020 00,42,ug/m3
4000022,5,08/02/2020 00,09/02/2020 00,61,ug/m3
4000022,5,09/02/2020 00,10/02/2020 00,58,ug/m3
4000022,5,10/02/2020 00,11/02/2020 00,61,ug/m3
4000022,5,11/02/2020 00,12/02/2020 00,24,ug/m3
4000022,5,12/02/2020 00,13/02/2020 00,7,ug/m3
4000022,5,13/02/2020 00,14/02/2020 00,40,ug/m3
4000022,5,14/02/2020 00,15/02/2020 00,56,ug/m3
4000022,5,15/02/2020 00,16/02/2020 00,60,ug/m3
4000022,5,16/02/2020 00,17/02/2020 00,77,ug/m3
4000022,5,17/02/2020 00,18/02/2020 00,73,ug/m3
4000022,5,18/02/2020 00,19/02/2020 00,65,ug/m3
4000022,5,20/02/2020 00,21/02/2020 00,42,ug/m3
4000022,5,21/02/2020 00,22/02/2020 00,47,ug/m3
4000022,5,22/02/2020 00,23/02/2020 00,69,ug/m3
4000022,5,23/02/2020 00,24/02/2020 00,72,ug/m3
4000022,5,24/02/2020 00,25/02/2020 00,66,ug/m3
4000022,5,25/02/2020 00,26/02/2020 00,61,ug/m3
4000022,5,26/02/2020 00,27/02/2020 00,27,ug/m3
4000022,5,27/02/2020 00,28/02/2020 00,9,ug/m3
4000022,5,28/02/2020 00,29/02/2020 00,20,ug/m3
4000022,5,29/02/2020 00,01/03/2020 00,37,ug/m3
4000022,5,01/03/2020 00,02/03/2020 00,28,ug/m3
4000022,5,02/03/2020 00,03/03/2020 00,17,ug/m3
4000022,5,03/03/2020 00,04/03/2020 00,11,ug/m3
4000022,5,04/03/2020 00,05/03/2020 00,19,ug/m3
4000022,5,05/03/2020 00,06/03/2020 00,26,ug/m3
4000022,5,06/03/2020 00,07/03/2020 00,23,ug/m3
4000022,5,07/03/2020 00,08/03/2020 00,34,ug/m3
4000022,5,08/03/2020 00,09/03/2020 00,21,ug/m3
4000022,5,09/03/2020 00,10/03/2020 00,32,ug/m3
4000022,5,10/03/2020 00,11/03/2020 00,32,ug/m3
4000022,5,11/03/2020 00,12/03/2020 00,25,ug/m3
4000022,5,12/03/2020 00,13/03/2020 00,54,ug/m3
4000022,5,13/03/2020 00,14/03/2020 00,47,ug/m3
4000022,5,14/03/2020 00,15/03/2020 00,30,ug/m3
4000022,5,15/03/2020 00,16/03/2020 00,16,ug/m3
4000022,5,16/03/2020 00,17/03/2020 00,25,ug/m3
4000022,5,17/03/2020 00,18/03/2020 00,35,ug/m3
4000022,5,18/03/2020 00,19/03/2020 00,45,ug/m3
4000022,5,19/03/2020 00,20/03/2020 00,32,ug/m3
4000022,5,20/03/2020 00,21/03/2020 00,45,ug/m3
4000022,5,21/03/2020 00,22/03/2020 00,28,ug/m3
4000022,5,22/03/2020 00,23/03/2020 00,19,ug/m3
4000022,5,23/03/2020 00,24/03/2020 00,14,ug/m3
4000022,5,24/03/2020 00,25/03/2020 00,16,ug/m3
4000022,5,25/03/2020 00,26/03/2020 00,18,ug/m3
4000022,5,26/03/2020 00,27/03/2020 00,13,ug/m3
4000022,5,27/03/2020 00,28/03/2020 00,33,ug/m3
4000022,5,28/03/2020 00,29/03/2020 00,91,ug/m3
4000022,5,29/03/2020 00,30/03/2020 00,65,ug/m3
4000022,5,30/03/2020 00,31/03/2020 00,58,ug/m3
4000022,5,31/03/2020 00,01/04/2020 00,12,ug/m3
4000022,5,01/04/2020 00,02/04/2020 00,18,ug/m3
4000022,5,02/04/2020 00,03/04/2020 00,20,ug/m3
4000022,5,03/04/2020 00,04/04/2020 00,26,ug/m3
4000022,5,04/04/2020 00,05/04/2020 00,28,ug/m3
4000022,5,05/04/2020 00,06/04/2020 00,24,ug/m3
