COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
4000022,111,01/01/2020 00,02/01/2020 00,73,ug/m3
4000022,111,02/01/2020 00,03/01/2020 00,50,ug/m3
4000022,111,03/01/2020 00,04/01/2020 00,32,ug/m3
4000022,111,04/01/2020 00,05/01/2020 00,33,ug/m3
4000022,111,05/01/2020 00,06/01/2020 00,30,ug/m3
4000022,111,06/01/2020 00,07/01/2020 00,34,ug/m3
4000022,111,07/01/2020 00,08/01/2020 00,23,ug/m3
4000022,111,08/01/2020 00,09/01/2020 00,23,ug/m3
4000022,111,09/01/2020 00,10/01/2020 00,33,ug/m3
4000022,111,10/01/2020 00,11/01/2020 00,47,ug/m3
4000022,111,11/01/2020 00,12/01/2020 00,54,ug/m3
4000022,111,12/01/2020 00,13/01/2020 00,39,ug/m3
4000022,111,13/01/2020 00,14/01/2020 00,37,ug/m3
4000022,111,14/01/2020 00,15/01/2020 00,71,ug/m3
4000022,111,15/01/2020 00,16/01/2020 00,85,ug/m3
4000022,111,16/01/2020 00,17/01/2020 00,74,ug/m3
4000022,111,17/01/2020 00,18/01/2020 00,39,ug/m3
4000022,111,18/01/2020 00,19/01/2020 00,26,ug/m3
4000022,111,19/01/2020 00,20/01/2020 00,24,ug/m3
4000022,111,20/01/2020 00,21/01/2020 00,22,ug/m3
4000022,111,21/01/2020 00,22/01/2020 00,34,ug/m3
4000022,111,22/01/2020 00,23/01/2020 00,33,ug/m3
4000022,111,23/01/2020 00,24/01/2020 00,54,ug/m3
4000022,111,24/01/2020 00,25/01/2020 00,64,ug/m3
4000022,111,25/01/2020 00,26/01/2020 00,71,ug/m3
4000022,111,26/01/2020 00,27/01/2020 00,48,ug/m3
4000022,111,27/01/2020 00,28/01/2020 00,31,ug/m3
4000022,111,28/01/2020 00,29/01/2020 00,42,ug/m3
4000022,111,29/01/2020 00,30/01/2020 00,15,ug/m3
4000022,111,30/01/2020 00,31/01/2020 00,26,ug/m3
4000022,111,31/01/2020 00,01/02/2020 00,35,ug/m3
4000022,111,01/02/2020 00,02/02/2020 00,57,ug/m3
4000022,111,02/02/2020 00,03/02/2020 00,21,ug/m3
4000022,111,03/02/2020 00,04/02/2020 00,9,ug/m3
4000022,111,04/02/2020 00,05/02/2020 00,4,ug/m3
4000022,111,05/02/2020 00,06/02/2020 00,8,ug/m3
4000022,111,06/02/2020 00,07/02/2020 00,19,ug/m3
4000022,111,07/02/2020 00,08/02/2020 00,30,ug/m3
4000022,111,08/02/2020 00,09/02/2020 00,46,ug/m3
4000022,111,09/02/2020 00,10/02/2020 00,49,ug/m3
4000022,111,10/02/2020 00,11/02/2020 00,50,ug/m3
4000022,111,11/02/2020 00,12/02/2020 00,15,ug/m3
4000022,111,12/02/2020 00,13/02/2020 00,5,ug/m3
4000022,111,13/02/2020 00,14/02/2020 00,25,ug/m3
4000022,111,14/02/2020 00,15/02/2020 00,41,ug/m3
4000022,111,15/02/2020 00,16/02/2020 00,46,ug/m3
4000022,111,16/02/2020 00,17/02/2020 00,62,ug/m3
4000022,111,17/02/2020 00,18/02/2020 00,56,ug/m3
4000022,111,18/02/2020 00,19/02/2020 00,44,ug/m3
4000022,111,20/02/2020 00,21/02/2020 00,28,ug/m3
4000022,111,21/02/2020 00,22/02/2020 00,32,ug/m3
4000022,111,22/02/2020 00,23/02/2020 00,55,ug/m3
4000022,111,23/02/2020 00,24/02/2020 00,53,ug/m3
4000022,111,24/02/2020 00,25/02/2020 00,49,ug/m3
4000022,111,25/02/2020 00,26/02/2020 00,36,ug/m3
4000022,111,26/02/2020 00,27/02/2020 00,12,ug/m3
4000022,111,27/02/2020 00,28/02/2020 00,3,ug/m3
4000022,111,28/02/2020 00,29/02/2020 00,12,ug/m3
4000022,111,29/02/2020 00,01/03/2020 00,29,ug/m3
4000022,111,01/03/2020 00,02/03/2020 00,23,ug/m3
4000022,111,02/03/2020 00,03/03/2020 00,9,ug/m3
4000022,111,03/03/2020 00,04/03/2020 00,5,ug/m3
4000022,111,04/03/2020 00,05/03/2020 00,11,ug/m3
4000022,111,05/03/2020 00,06/03/2020 00,15,ug/m3
4000022,111,06/03/2020 00,07/03/2020 00,15,ug/m3
4000022,111,07/03/2020 00,08/03/2020 00,24,ug/m3
4000022,111,08/03/2020 00,09/03/2020 00,15,ug/m3
4000022,111,09/03/2020 00,10/03/2020 00,25,ug/m3
4000022,111,10/03/2020 00,11/03/2020 00,22,ug/m3
4000022,111,11/03/2020 00,12/03/2020 00,17,ug/m3
4000022,111,12/03/2020 00,13/03/2020 00,39,ug/m3
4000022,111,13/03/2020 00,14/03/2020 00,31,ug/m3
4000022,111,14/03/2020 00,15/03/2020 00,20,ug/m3
4000022,111,15/03/2020 00,16/03/2020 00,10,ug/m3
4000022,111,16/03/2020 00,17/03/2020 00,21,ug/m3
4000022,111,17/03/2020 00,18/03/2020 00,25,ug/m3
4000022,111,18/03/2020 00,19/03/2020 00,33,ug/m3
4000022,111,19/03/2020 00,20/03/2020 00,24,ug/m3
4000022,111,20/03/2020 00,21/03/2020 00,32,ug/m3
4000022,111,21/03/2020 00,22/03/2020 00,17,ug/m3
4000022,111,22/03/2020 00,23/03/2020 00,11,ug/m3
4000022,111,23/03/2020 00,24/03/2020 00,9,ug/m3
4000022,111,24/03/2020 00,25/03/2020 00,12,ug/m3
